2020-01-14 15:04:00.061 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.AnswerMapper.update] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.064 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.AnswerMapper.delete] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.064 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.AnswerMapper.insert] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.085 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.KnowledgeMapper.update] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.085 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.KnowledgeMapper.delete] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.085 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.KnowledgeMapper.insert] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.085 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.KnowledgeMapper.selectById] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.086 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.KnowledgeMapper.updateById] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.107 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.DiseaseMapper.update] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.107 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.DiseaseMapper.delete] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.107 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.DiseaseMapper.insert] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.127 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.FertilizerMapper.update] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.127 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.FertilizerMapper.delete] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.127 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.FertilizerMapper.insert] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.127 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.FertilizerMapper.selectById] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.149 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.PesticideMapper.update] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.149 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.PesticideMapper.delete] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.149 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.PesticideMapper.insert] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.150 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.PesticideMapper.selectById] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.171 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.TechnologyMapper.update] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.171 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.TechnologyMapper.delete] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.172 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.TechnologyMapper.insert] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.193 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.QuestionMapper.update] is ignored, because it's exists, maybe from xml file
2020-01-14 15:04:00.193 ERROR 1944 --- [main] c.b.mybatisplus.MybatisConfiguration     : mapper[com.jit.aquaculture.mapper.knowledge.QuestionMapper.delete] is ignored, because it's exists, maybe from xml file
